I,O
am,O
a,O
Java,Programming Language
Software Engineer,IT Specialization
",",O
I,O
have,O
the,O
Oracle OCA Certification,Certification
",",O
I,O
worked,O
5,O
years,O
with,O
SpringBoot,Tool/Framework
and,O
Hibernate,Tool/Framework
",",O
along,O
with,O
Google Cloud,Tool/Framework
and,O
other,O
tools,O
such,O
as,O
Docker,Tool/Framework
",",O
Kubernetes,Tool/Framework
",",O
Jenkins,Tool/Framework
.,O
I,O
am,O
a,O
student,O
and,O
my,O
favourite,O
programming,O
language,O
is,O
Ruby,Programming Language
and,O
I,O
love,O
OOP,Programming Concept
as,O
well,O
as,O
functional programming,Programming Concept
.,O
I,O
only,O
know,O
C++,O
and,O
imperative programmming,Programming Concept
.,O
I,O
know,O
Laravel,Tool/Framework
",",O
I,O
used,O
it,O
with,O
PHP,Programming Language
.,O
I,O
am,O
familiar,O
with,O
Microsoft Azure,Tool/Framework
",",O
but,O
also,O
with,O
git,Tool/Framework
.,O
Junior,Seniority
Software Developer,IT Specialization
specialized,O
in,O
Java,Programming Language
and,O
Scala,Programming Language
.,O
I,O
love,O
mobile development,Programming Concept
and,O
Kotlin,Programming Language
.,O
I,O
am,O
familiar,O
with,O
Maven,Tool/Framework
and,O
Docker,Tool/Framework
",",O
I,O
am,O
a,O
mid,Seniority
DevOps,IT Specialization
.,O
Senior,Seniority
data engineer,IT Specialization
",",O
specialized,O
in,O
Python,Programming Language
with,O
Pandas,Tool/Framework
",",O
Numpy,Tool/Framework
",",O
Scikit Learn,Tool/Framework
.,O
Junior,Seniority
Java,Programming Language
Developer,IT Specialization
having,O
a,O
Google Cloud Certification,O
.,O
Senior,Seniority
Tech Lead,Seniority
with,O
Java,Programming Language
",",O
Kotlin,Programming Language
and,O
SqlServer,Tool/Framework
background,O
.,O
Strong,O
Scala,Programming Language
background,O
",",O
enthusiastic,O
student,O
looking,O
for,O
a,O
new,O
Job,O
.,O
Looking,O
for,O
new,O
Mid,O
Software Engineers,IT Specialization
with,O
strong,O
Object Oriented Programming,Programming Concept
backgroud,O
.,O
I,O
have,O
knowledge,O
in,O
R,O
",",O
Haskell,Programming Language
and,O
Python,Programming Language
.,O
I,O
have,O
worked,O
for,O
7,O
years,O
on,O
an,O
e commerce,O
project,O
using,O
technologies,O
such,O
as:,O
Java,Programming Language
",",O
Spring,Tool/Framework
",",O
JavaEE,Tool/Framework
",",O
Hibernate,Tool/Framework
and,O
Docker,Tool/Framework
.,O
I,O
am,O
working,O
on,O
a,O
machine learning,Programming Concept
project,O
with,O
Python,Programming Language
",",O
Keras,Tool/Framework
and,O
Pandas,Tool/Framework
.,O
I,O
am,O
building,O
a,O
Datalake,Programming Concept
using,O
Scala,Programming Language
and,O
Spark,Tool/Framework
",",O
but,O
also,O
GCP,Tool/Framework
services,O
such,O
as:,O
Airflow,Tool/Framework
.,O
I,O
am,O
working,O
on,O
a,O
middleware,O
project,O
for,O
an,O
automotive,Programming Concept
company,O
for,O
their,O
Android,Tool/Framework
integration,O
with,O
the,O
existing,O
infotainment,O
system,O
using,O
Kotlin,Programming Language
.,O
I,O
have,O
experience,O
in,O
Python,Programming Language
and,O
Flask,Tool/Framework
",",O
but,O
I,O
also,O
know,O
Django,Tool/Framework
.,O
I,O
am,O
working,O
on,O
iOS,O
development,Programming Concept
using,O
Swift,Tool/Framework
.,O
I,O
worked,O
with,O
,O
.NET,O
and,O
C#,O
and,O
I,O
also,O
love,O
PHP,Programming Language
.,O
I,O
have,O
a,O
Databricks Certified Data Engineer,O
certification,Programming Concept
and,O
am,O
familiar,O
with,O
Spark,Tool/Framework
and,O
Hadoop,Tool/Framework
.,O
I,O
have,O
worked,O
as,O
a,O
DevOps,IT Specialization
Engineer,IT Specialization
and,O
am,O
familiar,O
with,O
Kubernetes,Tool/Framework
and,O
Terraform,Tool/Framework
.,O
Strong,O
OOP,Programming Concept
programming,O
knowledge,O
",",O
worked,O
with,O
Javascript,Programming Language
.,O
Frontend developer,IT Specialization
using,O
HTML,Programming Language
",",O
CSS,Programming Language
and,O
JavaScript,O
.,O
Senior,Seniority
frontend developer,O
specialized,O
with,O
React,Tool/Framework
",",O
ReactNative,Tool/Framework
and,O
VueJs,Tool/Framework
.,O
Junior,Seniority
Full Stack Developer,IT Specialization
using,O
Python,Programming Language
and,O
React,Tool/Framework
.,O
Mid,O
Full Stack developer,O
with,O
great,O
experience,O
in,O
Angular,Tool/Framework
and,O
VueJs,Tool/Framework
.,O
Senior,Seniority
programmer,O
",",O
I,O
have,O
been,O
writing,O
C++,O
code,O
for,O
more,O
than,O
a,O
decade,O
now,O
and,O
I,O
like,O
Java,Programming Language
and,O
Python,Programming Language
.,O
I,O
am,O
a,O
junior,O
developer,O
with,O
some,O
experience,O
with,O
Ruby on Rails,Tool/Framework
and,O
also,O
Python,Programming Language
with,O
Flask,Tool/Framework
",",O
working,O
on,O
different,O
microservices,O
.,O
I,O
am,O
a,O
certified,Programming Concept
Azure,Tool/Framework
developer,O
",",O
having,O
worked,O
with,O
Azure Cloud Service,Tool/Framework
provider,O
for,O
10,O
years,O
now,O
.,O
I,O
am,O
a,O
data scientist,IT Specialization
with,O
vast,O
experience,O
in,O
SQL,Programming Language
and,O
noSQL,Programming Concept
databases,O
such,O
as,O
Cassandra,Tool/Framework
",",O
Posgres,Tool/Framework
and,O
MongoDB,Tool/Framework
.,O
Looking,O
for,O
mid/senior,O
Java,Programming Language
developers,O
than,O
have,O
experience,O
with,O
tools,O
such,O
as:,O
SpringBoot,Tool/Framework
",",O
Maven,Tool/Framework
",",O
Git,O
",",O
Amazon Web Services,Tool/Framework
.,O
Looking,O
for,O
junior/senior,O
Python,Programming Language
developers,O
than,O
have,O
experience,O
with,O
tools,O
such,O
as:,O
SpringBoot,Tool/Framework
",",O
Maven,Tool/Framework
",",O
Git,O
",",O
Amazon Web Services,Tool/Framework
.,O
We,O
are,O
looking,O
for,O
passionate,O
,O
.Net,Tool/Framework
specialists,O
looking,O
for,O
a,O
new,O
challenge:,O
if,O
you,O
are,O
familiar,O
with,O
OOP,Programming Concept
and,O
with,O
version control,O
tools,O
such,O
as,O
Git,O
or,O
with,O
Containerization,O
tools,O
as,O
Docker,Tool/Framework
and,O
Kubernetes,Tool/Framework
",",O
as,O
long,O
as,O
you,O
have,O
a,O
strong,O
programming,O
background,O
",",O
this,O
job,O
is,O
for,O
you!,O
Looking,O
for,O
a,O
Junior,Seniority
Full Stack Developer,IT Specialization
having,O
experience,O
with,O
Java,Programming Language
",",O
Hibernate,Tool/Framework
and,O
TypeScript,Programming Language
.,O
Wanted:,O
Mid,O
Software developer,O
previously,O
working,O
with,O
Apache Kafka,Tool/Framework
or,O
RabbitMq,Tool/Framework
",",O
ElasticSearch,Tool/Framework
.,O
Hiring,O
a,O
Software Engineer,IT Specialization
with,O
strong,O
background,O
in,O
Security,Programming Concept
",",O
for,O
example,O
Spring Security,Tool/Framework
",",O
and,O
in,O
Linux,Tool/Framework
.,O
Organizing,O
an,O
internship,Seniority
with,O
10,O
people,O
who,O
meet,O
the,O
following,O
requirements:,O
strong,O
understanding,O
of,O
data structures,Programming Concept
",",O
algorithms,Programming Concept
and,O
basic,O
experience,O
with,O
Functional Programming,O
.,O
In,O
need,O
of,O
Software,O
Architect,Seniority
with,O
strong,O
knowledge,O
in,O
Blockchain,Tool/Framework
technology,O
",",O
Client Server,Programming Concept
and,O
peer to peer,Programming Concept
applications,O
.,O
Hiring,O
Blockchain,Tool/Framework
developer,O
with,O
strong,O
understanding,O
of,O
Web3,O
protocol,O
.,O
Experience,O
working,O
in,O
various,O
methodologies,O
like,O
Agile,Programming Concept
",",O
Scrum,Programming Concept
",",O
Kanban,Tool/Framework
",",O
Waterfall,Programming Concept
and,O
RUP,Programming Concept
and,O
following,O
practices,O
like,O
planning,O
sessions,O
",",O
retrospectives,O
",",O
daily standups,O
",",O
code reviews,Programming Concept
",",O
TDD,Programming Concept
.,O
Experience,O
in,O
building,O
Cross,O
browser,O
responsive,O
mobile,Programming Concept
first,O
web,O
application,O
using,O
HTML5,O
",",O
CSS3,O
",",O
Bootstrap,Tool/Framework
",",O
CSS,Programming Language
preprocessor,O
Less,O
.,O
Experience,O
in,O
working,O
with,O
various,O
Relational Databases,Programming Concept
like,O
Oracle,Tool/Framework
",",O
DB2,O
",",O
MySQL,Tool/Framework
and,O
Teradata,Tool/Framework
building,O
complex,O
queries,O
",",O
functions,O
",",O
triggers,O
and,O
stored procedures,Programming Concept
.,O
Experience,O
in,O
working,O
with,O
NoSQL databases,Programming Concept
(,O
schema,O
on,O
read,O
),O
databases,O
mongoDB,O
and,O
Cassandra,Tool/Framework
and,O
search,O
optimized,O
store,O
elastic search,Tool/Framework
.,O
Experience,O
working,O
in,O
and,O
building,O
Continuous Integration,Programming Concept
(,O
CI,Programming Concept
),O
and,O
Continuous Deployment,Programming Concept
(,O
CD,Programming Concept
),O
by,O
building,O
custom,O
build,O
and,O
deployments,O
jobs,O
in,O
Jenkins,Tool/Framework
",",O
Bamboo,O
and,O
building,O
automation tests,Programming Concept
based,O
on,O
Gherkin,Tool/Framework
",",O
utilizing,O
Cucumber,Tool/Framework
and,O
selenium web driver,Tool/Framework
.,O
Experience,O
in,O
writing,O
custom,O
build,O
scripts,O
with,O
various,O
build,O
tool,O
",",O
Dependency,O
and,O
package,O
managers,O
like,O
Maven,Tool/Framework
",",O
Gradle,Tool/Framework
",",O
Ant,O
",",O
Grunt,Tool/Framework
",",O
Gulp,Tool/Framework
",",O
NPM,O
and,O
Bower,Tool/Framework
.,O
Experience,O
in,O
installing,O
",",O
Administering,O
and,O
configuring,O
web,O
and,O
Application,O
servers,O
like,O
Tomcat,Tool/Framework
",",O
WebSphere,Tool/Framework
",",O
Jboss,Tool/Framework
and,O
Node,O
.JS,O
.,O
Experience,O
in,O
working,O
web applications,Programming Concept
deployed,O
on,O
Amazon Web Services,Tool/Framework
(,O
AWS,Tool/Framework
),O
and,O
configuring,O
services,O
like,O
Aws Route,Tool/Framework
",",O
Cloud Front,Tool/Framework
",",O
Elastic load Balancer,Tool/Framework
",",O
EC2,O
",",O
RDS,O
and,O
Cloud,Tool/Framework
watch,O
.,O
Used,O
Spring JPA,Tool/Framework
module,O
with,O
Hibernate,Tool/Framework
as,O
JPA,Tool/Framework
provider,O
to,O
provide,O
ORM,Programming Concept
feature,O
to,O
application,O
on,O
querying,O
data,O
from,O
oracle,O
database,Programming Concept
.,O
Followed,O
TDD,Programming Concept
for,O
building,O
Rest services,Programming Concept
writing,O
tests,O
using,O
Junit,Tool/Framework
and,O
mocking,O
framework,Programming Concept
Mockito,Tool/Framework
.,O
Designed,O
the,O
application,O
based,O
on,O
the,O
architecture,O
of,O
the,O
MVC,Programming Concept
design pattern,Programming Concept
",",O
by,O
following,O
Agile,Programming Concept
and,O
Scrum,Programming Concept
methodologies,O
.,O
DevOps,IT Specialization
Engineer,IT Specialization
with,O
extensive,O
experience,O
as,O
Java,Programming Language
Developer,IT Specialization
and,O
Production Support,O
using,O
Java,Programming Language
",",O
J2EE,O
",",O
Rest,Programming Concept
API,Programming Concept
.,O
I,O
have,O
experience,O
in,O
integration,O
and,O
deployment,Programming Concept
of,O
applications,O
using,O
Gradle,Tool/Framework
and,O
with,O
different,O
Continuous Integration,Programming Concept
(,O
CI,Programming Concept
),O
and,O
Continuous Deployment,Programming Concept
(,O
CD,Programming Concept
),O
tools,O
like,O
Jenkins,Tool/Framework
.,O
Looking,O
for,O
juniors,O
that,O
are,O
able,O
to,O
demonstrate,O
a,O
strong,O
understanding,O
of,O
Asp,O
.Net,Tool/Framework
security,O
mechanisms,O
such,O
as,O
impersonation,O
",",O
authentication,Programming Concept
and,O
authorization,Programming Concept
.,O
Designing,O
the,O
development,Programming Concept
of,O
presentation,O
layers,O
using,O
HTML,Programming Language
",",O
CSS,Programming Language
",",O
Javascript,Programming Language
",",O
and,O
jQuery,Tool/Framework
.,O